location_id,project_id,legacy_value,scope_municipality,has_geometry,verdict,candidate_name,candidate_id,reason
12487,806,Anzures,Miguel Hidalgo,1,a_details,,,colonia o pueblo urbano de la CDMX; el catálogo INEGI solo trae la alcaldía
12489,855,Centro histórico,Cuauhtémoc,1,a_details,,,colonia o pueblo urbano de la CDMX; el catálogo INEGI solo trae la alcaldía
12514,385,El Contadero,,1,a_details,,,colonia o pueblo urbano de la CDMX; el catálogo INEGI solo trae la alcaldía
12523,381,Sonora,Cananea,1,inutil,,,se capturó el nombre del estado en el campo de localidad
12529,396,El Águila,San Pedro Totolápam,1,inutil,,,repite el nombre de la mina (el propio proyecto); San Pedro Totolápam no tiene esa localidad
12553,431,Poblado Cieneguita Lluvia de Oro,Urique,1,llenar,Cieneguita Lluvia de Oro,82263,el prefijo «Poblado» es lo único que estorbaba; la localidad ya está capturada
12570,322,Taico,,1,llenar,Tampico,2035,errata de Tampico: el otro fragmento del mismo comentario nombra la localidad Tampico
12570,322,Tampico,,1,llenar,Tampico,252759,cabecera de Tampico (297 373 hab.); el municipio queda fijado por el fragmento hermano
12584,437,Miguel Hidalgo,Cuernavaca,1,a_details,,,"colonia Miguel Hidalgo de Cuernavaca, no una localidad del catálogo"
12601,481,Santa Úrsula Xitla,Tlalpan,1,a_details,,,colonia o pueblo urbano de la CDMX; el catálogo INEGI solo trae la alcaldía
12643,895,Los Napuchis,Carichí,1,irresoluble,,,"Carichí tiene siete localidades homónimas Napuchi/Napuchis (de 0 a 95 habitantes) y nada desempata; con geometría, el backfill la calcularía"
12677,614,"Av. 5 de Mayo, No. 62",Álvaro Obregón,1,a_details,,,"domicilio, no un topónimo"
12697,660,Valle Poniente,Santa Catarina,1,a_details,,,"fraccionamiento de Santa Catarina, no una localidad del catálogo"
12737,715,San Antonio,Iztapalapa,1,a_details,,,colonia o pueblo urbano de la CDMX; el catálogo INEGI solo trae la alcaldía
12742,728,Av. Casa de la Moneda,Miguel Hidalgo,1,a_details,,,"domicilio, no un topónimo"
12748,734,Roma Norte,Cuauhtémoc,1,a_details,,,colonia o pueblo urbano de la CDMX; el catálogo INEGI solo trae la alcaldía
12749,735,Roma Norte,Cuauhtémoc,1,a_details,,,colonia o pueblo urbano de la CDMX; el catálogo INEGI solo trae la alcaldía
12778,905,Polanco,Miguel Hidalgo,1,a_details,,,colonia o pueblo urbano de la CDMX; el catálogo INEGI solo trae la alcaldía
12779,906,Playa Chacala,Bahía de Banderas,1,a_details,,,Chacala es de Compostela y la ubicación está capturada en Bahía de Banderas: la playa vale como referencia
12885,1472,San Nicolás Totolapan,,1,llenar,Ejido de San Nicolás Totolapan,84076,"coincide al 100 % en La Magdalena Contreras, el municipio que el mismo comentario no encontró"
12887,1500,Vicente Guerrero,Gustavo A. Madero,1,a_details,,,colonia o pueblo urbano de la CDMX; el catálogo INEGI solo trae la alcaldía
12919,1475,Ranchería Ocampo,Ocampo,1,a_details,,,Ocampo no tiene una localidad con ese nombre; «ranchería» describe el asentamiento
16218,150,Pueblo Cuautepec,Gustavo A. Madero,1,a_details,,,colonia o pueblo urbano de la CDMX; el catálogo INEGI solo trae la alcaldía
